"conc1","def1","conc2","def2","domain","wlinks1","wlinks2","average"
"Cricket","a game played with a ball and bat by two teams of 11 players; teams take turns trying to score runs","Wicket","cricket equipment consisting of a set of three stumps topped by crosspieces; used in playing cricket","S",3,1,3.1200
"Dribbling","the propulsion of a ball by repeated taps or kicks","Free kick","a place kick that is allowed for a foul or infringement by the other team","So",1,0,2.0000
"Drum","a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretch across each end","Jazz","a genre of popular music that originated in New Orleans around 1900 and developed through increasingly complex styles","M",1,0,2.4800
"Dune","a ridge of sand created by the wind; found in deserts or near lakes and oceans","Sand","a loose material consisting of grains of rock or coral","B",1,1,3.3600
"Economics","the branch of social science that deals with the production and distribution and consumption of goods and services and their management","Business","a commercial or industrial enterprise and the people who constitute it","E",1,1,3.1923
"Economist","an expert in the science of economics","Finance","the branch of economics that studies the management of money and other assets","E",1,0,2.9600
"Economy","the system of production and distribution and consumption","Management","the act of watching and directing something (a business)","E",1,0,2.2800
"Education","the activities of educating or instructing or teaching; activities that impart knowledge or skill","Student","a learner who is enrolled in an educational institution","Sc",2,1,3.5200
"Education","the activities of educating or instructing or teaching; activities that impart knowledge or skill","Teaching","any act or experience that has a formative effect on the mind, character or physical ability of an individual","Sc",1,1,3.6400
"Eggplant","egg-shaped vegetable having a shiny skin typically dark purple but occasionally white or yellow","Mad apple","hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable","F",1,0,1.2083
"Erosion","the mechanical process of wearing or grinding something down","Geology","a science that deals with the history of the earth as recorded in rocks","B",0,1,2.8800
"Extra time","playing time beyond regulation to break a tie","Tiebreaker","overtime play in order to break a tie","So",0,1,2.6818
"Fare","the sum charged for riding in a public conveyance","Bus","a vehicle carrying many passengers; used for public transport","C",1,0,3.0385
"Food","any substance that can be metabolized by an animal to give energy and build tissue","Advertising","a public promotion of some product or service","F",1,0,1.3750
"Football","any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal","Corner kick","a free kick from the corner awarded to the other side when a player has sent the ball behind his own goal line","So",1,0,3.2400
"Frog","any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species","Carnivore","a terrestrial or aquatic flesh-eating mammal","Z",1,0,0.8400
"Fuel","a substance that can be consumed to produce energy","Automobile","a motor vehicle with four wheels; usually propelled by an internal combustion engine","C",0,1,3.2692
"Gecko","any of various small chiefly tropical and usually nocturnal insectivorous terrestrial lizards typically with immovable eyelids; completely harmless","Cricket","leaping insect; male makes chirping noises by rubbing the forewings together","Z",1,0,0.7917
"Geology","a science that deals with the history of the earth as recorded in rocks","Beach","an area of sand sloping down to the water of a sea or lake","B",0,1,1.6000
"Goal","a successful attempt at scoring","Soccer","a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal","So",0,1,3.3200
"Goalkeeper","the soccer or hockey player assigned to protect the goal","Goal","a successful attempt at scoring","So",1,0,3.2400
"Goalkeeper","the soccer or hockey player assigned to protect the goal","Goalie","a designated player that is charged with directly preventing the opposite team from scoring by defending the goal","So",0,1,3.6800
"Grapefruit","citrus tree bearing large round edible fruit having a thick yellow rind and juicy somewhat acid pulp","Vitamin C","a vitamin found in fresh fruits (especially citrus fruits) and vegetables; prevents scurvy","F",1,1,2.6957
"Greenhouse gas","a gas that contributes to the greenhouse effect by absorbing infrared radiation","Carbon dioxide","a heavy odorless colorless gas formed during respiration and by the decomposition of organic substances","C",1,1,3.2800
"Guacamole","a dip made of mashed avocado mixed with chopped onions and other seasonings","Avocado","a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed","F",1,1,3.0833
"Gymnasium","athletic facility equipped for sports or physical training","Gym","a locality for both physical and intellectual education of young men","Sc",1,0,3.3600
"Gymnasium","athletic facility equipped for sports or physical training","School","an educational institution","Sc",0,1,2.1600
"Industrialism","an economic system built on large industries rather than on agriculture or craftsmanship","Capitalism","an economic system based on private ownership of capital","E",1,1,2.4583
"Injury","any physical damage to the body caused by violence or accident or fracture etc.","Football","any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal","So",1,0,2.2800
"Invention","the creation of something in the mind","Electric guitar","a guitar whose sound is amplified by electrical means","M",1,0,1.0800
"Jingle","a comic verse of irregular measure","Brand","a recognizable kind","M",1,0,1.7273
"Judo","a sport adapted from jujitsu (using principles of not resisting) and similar to wrestling","Blood","people viewed as members of a group","S",1,0,0.6538
"Karate","a traditional Japanese system of unarmed combat; sharp blows and kicks are given to pressure-sensitive points on the body of the opponent","Tae Kwon Do","a Korean martial art similar to karate","S",1,1,2.8462
"Kitchen","a room equipped for preparing meals","Microwave oven","kitchen appliance that cooks food by passing an electromagnetic wave through it; heat results from the absorption of energy by the water molecules in the food","F",1,0,2.4231
"Koala","sluggish tailless Australian arboreal marsupial with gray furry ears and coat; feeds on eucalyptus leaves and bark","Kangaroo bear","an arboreal herbivorous marsupial native to Australia","Z",1,0,2.2000
"Leisure","time available for ease and relaxation","School","an educational institution","Sc",0,1,1.0000
"Lion","large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male","King of beasts","one of the four big cats in the genus Panthera, with some males exceeding 250 kg in weight, and the second-largest living cat after the tiger.","Z",1,0,2.9600
"Loan","the temporary provision of money (usually at interest)","Bank","a financial institution that accepts deposits and channels the money into lending activities","E",1,0,3.3200
"Loan","the temporary provision of money (usually at interest)","Debt","the state of owing something (especially money)","E",1,1,3.7308
"Monetary value","the property of having material worth (often indicated by the amount of money something would bring if sold)","Price","the quantity of payment or compensation given by one party to another in return for goods or services","E",0,1,3.3600
"Money","the most common medium of exchange; functions as legal tender","Debt","the state of owing something (especially money)","E",2,1,2.9615
"Motorcycle","a motor vehicle with two wheels and a strong frame","Bike","the abbreviation for either bicycle or motorcycle","C",1,0,3.0000
"Music","an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner","Musical instrument","any of various devices or contrivances that can be used to produce musical tones or sounds","M",1,1,3.5600
"Nation","a politically organized body of people under a single government","Education","the activities of educating or instructing or teaching; activities that impart knowledge or skill","Sc",1,0,1.6800
"Natural gas","a fossil fuel in the gaseous state; used for cooking and heating homes","Butane","occurs in natural gas; used in the manufacture of rubber and fuels","C",1,0,3.0870
"Noise","sound of any kind (especially unintelligible or dissonant sound)","Television","broadcasting visual images of stationary or moving objects","M",1,0,2.0400
"Note","a notation representing the pitch and duration of a musical sound","Sheet music","a musical composition in printed or written form","M",1,0,3.0400
"Octopus","bottom-living cephalopod having a soft oval body with eight long tentacles","Devilfish","A cephalopod mollusc of the order Octopoda,  has two eyes and four pairs of arms, and like other cephalopods is bilaterally symmetric","Z",1,0,1.9200
"Pedestrian","a person who travels by foot","Automobile","a motor vehicle with four wheels; usually propelled by an internal combustion engine","C",0,1,1.6154
"Pier","a platform built out from the shore into the water and supported by piles; provides access to ships and boats","Wharf","a structure on the shore of a harbor where ships may dock to load and unload cargo or passengers","B",2,1,3.1667
"Platypus","small densely furred aquatic monotreme of Australia and Tasmania having a broad bill and tail and webbed feet; only species in the family Ornithorhynchidae","Camel","cud-chewing mammal used as a draft or saddle animal in desert regions","Z",1,0,0.6957
"Poker","any of various card games in which players bet that they hold the highest-ranking hand","Casino","a card game in which cards face up on the table are taken with eligible cards in the hand","S",1,1,3.3200
"Polo","a game similar to field hockey but played on horseback using long-handled mallets and a wooden ball","Horse","a padded gymnastic apparatus on legs","S",1,1,3.0400
"Pop music","music of general appeal to teenagers; a bland watered-down version of rock'n'roll with more rhythm and harmony and an emphasis on romantic love","Guitar","a stringed instrument usually having six strings; played by strumming or plucking","M",0,1,2.6000
"Property","something owned; any tangible or intangible possession that is owned by someone","Capitalism","an economic system based on private ownership of capital","E",1,1,2.5000
"Radio","medium for communication","Sound","the sudden occurrence of an audible event","M",1,1,3.0400
"Rat","any of various long-tailed rodents similar to but larger than a mouse","Cat","feline mammal usually having thick soft fur and being unable to roar; domestic cats; wildcats","Z",1,1,2.2000
"Recipe","directions for making something","Ingredient","food that is a component of a mixture in cooking","F",0,1,2.9583
"Road","an open way (generally public) for travel or transportation","Gasoline","a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines","C",1,0,1.4000
"Salad","food mixtures either arranged on a plate or tossed and served with a moist dressing; usually consisting of or including greens","Fish","any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills","F",1,0,1.5833
"Sand","a loose material consisting of grains of rock or coral","Beach","an area of sand sloping down to the water of a sea or lake","B",1,1,3.7308
"Sardine","any of various small edible herring or related food fishes frequently canned","Omega-3","a polyunsaturated fatty acid whose carbon chain has its first double valence bond three carbons from the beginning","F",1,1,2.4400
"Sax","a single-reed woodwind with a conical bore","Saxophone","a conical-bore transposing musical instrument that is a member of the woodwind family","M",1,0,3.2800
"School","an educational institution","Bullying","the act of intimidating a weaker person to make them do something","Sc",1,0,2.0000
"Seashore","the shore of a sea or ocean","Coast","the line where the land meets the sea or ocean.","B",1,0,3.7692
"Shoal","a large group of fish","Dune","a ridge of sand created by the wind; found in deserts or near lakes and oceans","B",1,0,1.3043
"Shore","the land along the edge of a body of water","Geology","a science that deals with the history of the earth as recorded in rocks","B",1,0,1.7500
"Skateboard","a board with wheels that is ridden in a standing or crouching position and propelled by foot","Skateboarding","the sport of skating on a skateboard","S",1,1,3.6538
"Soccer","a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal","Association football","A sport played between two teams of eleven players with a spherical ball","So",1,1,2.7083
"Soccer","a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal","Champion","someone who has won first place in a competition","So",0,1,1.7200
"Song","a short musical composition with words","Music genre","an expressive style of music","M",2,0,2.9600
"Sport","an active diversion requiring physical exertion and competition","Athletics","a collection of sporting events that involve competitive running, jumping, throwing, and walking","S",0,1,3.2800
"Sport","an active diversion requiring physical exertion and competition","Nationalism","love of country and willingness to sacrifice for it","S",1,0,1.0769
"Starvation","the act of depriving of food or subjecting to famine","Food","any substance that can be metabolized by an animal to give energy and build tissue","F",0,1,3.1923
"Steering","the act of guiding or showing the way","Vehicle","a conveyance that transports people or objects","C",1,0,3.1154
"Student","a learner who is enrolled in an educational institution","Teacher","a person whose occupation is teaching","Sc",0,1,3.4800
"Surfing","the sport of riding a surfboard toward the shore on the crest of a wave","Reef","a submerged ridge of rock or coral near the surface of the water","B",1,0,2.1538
"Sustainability","the property of being sustainable","Industry","the people or companies engaged in a particular kind of commercial enterprise","E",1,0,2.0400
"Swimsuit","tight fitting garment worn for swimming","Bathing","immersing the body in water or sunshine","B",0,1,2.7200
"Tax","charge against a citizen's person or property or activity for the support of government","Cash","money in the form of bills or coins","E",1,0,2.2692
"Teacher","a person whose occupation is teaching","Instructor","a teacher of a specialised subject that involves skill","Sc",0,1,3.5600
"Teacher","a person whose occupation is teaching","Study hall","a classroom reserved for study","Sc",1,1,2.2000
"Team sport","a sport that involves competition between teams of players","Soccer","a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal","So",0,1,3.2800
"Tennis","a game played with rackets by two or four players who hit a ball back and forth over a net that divides the court","Badminton","a game played on a court with light long-handled rackets used to volley a shuttlecock over a net","S",0,1,2.7200
"Tiger","large feline of forests in most of Asia having a tawny coat with black stripes; endangered","Elephant","five-toed pachyderm","Z",1,0,1.6400
"Train","public transport provided by a line of railway cars coupled together and drawn by a locomotive","Wheel","a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)","C",1,0,1.8000
"University","a large and diverse institution of higher learning created to educate for life and for a profession and to grant degrees","Engineering","the discipline dealing with the art or science of applying scientific knowledge to practical problems","Sc",1,0,2.3600
"Wage","something that remunerates","Remuneration","typically money that is paid for services rendered as an employee","S",1,1,3.4400
"Wage","something that remunerates","Sport","an active diversion requiring physical exertion and competition","S",0,1,1.6800
"Washout","the erosive process of washing away soil or gravel by water (as from a roadway)","Erosion","the mechanical process of wearing or grinding something down","B",1,0,2.3750
"Wing","a barrier that surrounds the wheels of a vehicle to block splashing water or mud","Auto racing","the sport of racing automobiles","S",2,0,1.6957
"Wood","the hard fibrous lignified substance under the bark of trees","Baseball bat","an implement used in baseball by the batter","S",1,0,2.2692
